epoch VAE MDVAE SI LI AC Sem Cycle
1 3.384699884802103 3.384699884802103 nan nan nan nan nan
2 4.9782495349645615 4.9782495349645615 nan nan nan nan nan
3 3.4849503487348557 3.4849503487348557 nan nan nan nan nan
4 3.0558869391679764 3.0558869391679764 nan nan nan nan nan
5 3.011090684682131 3.011090684682131 nan nan nan nan nan
6 3.031983435153961 3.031983435153961 nan nan nan nan nan
7 3.179527424275875 3.179527424275875 nan nan nan nan nan
8 3.279537186026573 3.279537186026573 nan nan nan nan nan
9 3.287910506129265 3.287910506129265 nan nan nan nan nan
10 3.268921349197626 3.268921349197626 nan nan nan nan nan
11 3.25777655467391 3.25777655467391 nan nan nan nan nan
12 3.15999186784029 3.15999186784029 nan nan nan nan nan
13 3.263356678187847 3.263356678187847 nan nan nan nan nan
14 3.069723956286907 3.069723956286907 nan nan nan nan nan
15 2.9939549900591373 2.9939549900591373 nan nan nan nan nan
16 3.0380042605102062 3.0380042605102062 nan nan nan nan nan
17 3.1433486454188824 3.1433486454188824 nan nan nan nan nan
18 3.214154899120331 3.214154899120331 nan nan nan nan nan
19 3.216442432254553 3.216442432254553 nan nan nan nan nan
20 3.306701172143221 3.306701172143221 nan nan nan nan nan
21 3.344466134905815 3.344466134905815 nan nan nan nan nan
22 3.2042160592973232 3.2042160592973232 nan nan nan nan nan
23 3.063515093177557 3.063515093177557 nan nan nan nan nan
24 3.0442536175251007 3.0442536175251007 nan nan nan nan nan
25 3.06412373483181 3.06412373483181 nan nan nan nan nan
26 3.013800270855427 3.013800270855427 nan nan nan nan nan
27 3.0371480472385883 3.0371480472385883 nan nan nan nan nan
28 3.062287714332342 3.062287714332342 nan nan nan nan nan
29 3.1246496364474297 3.1246496364474297 nan nan nan nan nan
30 3.1187106631696224 3.1187106631696224 nan nan nan nan nan
31 3.23101856559515 3.23101856559515 nan nan nan nan nan
32 3.1635410636663437 3.1635410636663437 nan nan nan nan nan
33 3.188880655914545 3.188880655914545 nan nan nan nan nan
34 3.1246318258345127 3.1246318258345127 nan nan nan nan nan
35 3.0354605093598366 3.0354605093598366 nan nan nan nan nan
36 2.97085765004158 2.97085765004158 nan nan nan nan nan
37 2.98711571842432 2.98711571842432 nan nan nan nan nan
38 2.973114427179098 2.973114427179098 nan nan nan nan nan
39 3.0492051988840103 3.0492051988840103 nan nan nan nan nan
40 3.0776921659708023 3.0776921659708023 nan nan nan nan nan
41 3.114257726818323 3.114257726818323 nan nan nan nan nan
42 3.1159749813377857 3.1159749813377857 nan nan nan nan nan
43 3.1175157129764557 3.1175157129764557 nan nan nan nan nan
44 3.0803219117224216 3.0803219117224216 nan nan nan nan nan
45 3.0410133004188538 3.0410133004188538 nan nan nan nan nan
46 2.957037605345249 2.957037605345249 nan nan nan nan nan
47 2.993256039917469 2.993256039917469 nan nan nan nan nan
48 2.9853067211806774 2.9853067211806774 nan nan nan nan nan
49 2.999919231981039 2.999919231981039 nan nan nan nan nan
50 3.0540921576321125 3.0540921576321125 nan nan nan nan nan
51 3.117650981992483 3.117650981992483 nan nan nan nan nan
52 3.085946373641491 3.085946373641491 nan nan nan nan nan
53 3.113940794020891 3.113940794020891 nan nan nan nan nan
54 2.995614640414715 2.995614640414715 nan nan nan nan nan
55 3.010887783020735 3.010887783020735 nan nan nan nan nan
56 2.978838887065649 2.978838887065649 nan nan nan nan nan
57 2.990958906710148 2.990958906710148 nan nan nan nan nan
58 2.9439227916300297 2.9439227916300297 nan nan nan nan nan
59 2.9813717491924763 2.9813717491924763 nan nan nan nan nan
60 2.9498713091015816 2.9498713091015816 nan nan nan nan nan
61 2.9685856960713863 2.9685856960713863 nan nan nan nan nan
62 2.948123876005411 2.948123876005411 nan nan nan nan nan
63 3.0143567845225334 3.0143567845225334 nan nan nan nan nan
64 3.000261679291725 3.000261679291725 nan nan nan nan nan
65 3.00573568418622 3.00573568418622 nan nan nan nan nan
66 3.0040697753429413 3.0040697753429413 nan nan nan nan nan
67 3.0646250769495964 3.0646250769495964 nan nan nan nan nan
68 2.998038224875927 2.998038224875927 nan nan nan nan nan
69 2.983918022364378 2.983918022364378 nan nan nan nan nan
70 2.943430319428444 2.943430319428444 nan nan nan nan nan
71 2.959327317774296 2.959327317774296 nan nan nan nan nan
72 2.9243985265493393 2.9243985265493393 nan nan nan nan nan
73 2.9430407024919987 2.9430407024919987 nan nan nan nan nan
74 2.9043517746031284 2.9043517746031284 nan nan nan nan nan
75 2.950881142169237 2.950881142169237 nan nan nan nan nan
76 2.924100637435913 2.924100637435913 nan nan nan nan nan
77 2.9775852598249912 2.9775852598249912 nan nan nan nan nan
78 2.9696797467768192 2.9696797467768192 nan nan nan nan nan
79 2.9644538536667824 2.9644538536667824 nan nan nan nan nan
80 2.953906700015068 2.953906700015068 nan nan nan nan nan
81 2.9712741002440453 2.9712741002440453 nan nan nan nan nan
82 2.913706511259079 2.913706511259079 nan nan nan nan nan
83 2.9252132549881935 2.9252132549881935 nan nan nan nan nan
84 2.885913610458374 2.885913610458374 nan nan nan nan nan
85 2.9212562702596188 2.9212562702596188 nan nan nan nan nan
86 2.9056431502103806 2.9056431502103806 nan nan nan nan nan
87 2.929498642683029 2.929498642683029 nan nan nan nan nan
88 2.9251153394579887 2.9251153394579887 nan nan nan nan nan
89 2.9469105154275894 2.9469105154275894 nan nan nan nan nan
90 2.906821735203266 2.906821735203266 nan nan nan nan nan
91 2.921015538275242 2.921015538275242 nan nan nan nan nan
92 2.9033927880227566 2.9033927880227566 nan nan nan nan nan
93 2.9329427741467953 2.9329427741467953 nan nan nan nan nan
94 2.89923158288002 2.89923158288002 nan nan nan nan nan
95 2.9202540069818497 2.9202540069818497 nan nan nan nan nan
96 2.8989668153226376 2.8989668153226376 nan nan nan nan nan
97 2.919807367026806 2.919807367026806 nan nan nan nan nan
98 2.890651322901249 2.890651322901249 nan nan nan nan nan
99 2.895766083151102 2.895766083151102 nan nan nan nan nan
100 2.867140494287014 2.867140494287014 nan nan nan nan nan
101 2.8892179429531097 2.8892179429531097 nan nan nan nan nan
102 2.858048874884844 2.858048874884844 nan nan nan nan nan
103 2.8863733522593975 2.8863733522593975 nan nan nan nan nan
104 2.896069772541523 2.896069772541523 nan nan nan nan nan
105 2.9211611039936543 2.9211611039936543 nan nan nan nan nan
106 2.897310845553875 2.897310845553875 nan nan nan nan nan
107 2.9170292876660824 2.9170292876660824 nan nan nan nan nan
108 2.892710581421852 2.892710581421852 nan nan nan nan nan
109 2.8875351510941982 2.8875351510941982 nan nan nan nan nan
110 2.848987940698862 2.848987940698862 nan nan nan nan nan
111 2.860680468380451 2.860680468380451 nan nan nan nan nan
112 2.833094008266926 2.833094008266926 nan nan nan nan nan
113 2.863012820482254 2.863012820482254 nan nan nan nan nan
114 2.849392104893923 2.849392104893923 nan nan nan nan nan
115 2.8789322413504124 2.8789322413504124 nan nan nan nan nan
116 2.8651387356221676 2.8651387356221676 nan nan nan nan nan
117 2.886067006736994 2.886067006736994 nan nan nan nan nan
118 2.8525625839829445 2.8525625839829445 nan nan nan nan nan
119 2.8751958645880222 2.8751958645880222 nan nan nan nan nan
120 2.8555844761431217 2.8555844761431217 nan nan nan nan nan
121 2.871039517223835 2.871039517223835 nan nan nan nan nan
122 2.8557971492409706 2.8557971492409706 nan nan nan nan nan
123 2.870087768882513 2.870087768882513 nan nan nan nan nan
124 2.843608770519495 2.843608770519495 nan nan nan nan nan
125 2.857576619833708 2.857576619833708 nan nan nan nan nan
126 2.83064728975296 2.83064728975296 nan nan nan nan nan
127 2.850827571004629 2.850827571004629 nan nan nan nan nan
128 2.8289862759411335 2.8289862759411335 nan nan nan nan nan
129 2.856862649321556 2.856862649321556 nan nan nan nan nan
130 2.8342066891491413 2.8342066891491413 nan nan nan nan nan
131 2.8553334772586823 2.8553334772586823 nan nan nan nan nan
132 2.8348121121525764 2.8348121121525764 nan nan nan nan nan
133 2.857929725199938 2.857929725199938 nan nan nan nan nan
134 2.830511700361967 2.830511700361967 nan nan nan nan nan
135 2.851463470607996 2.851463470607996 nan nan nan nan nan
136 2.8213426023721695 2.8213426023721695 nan nan nan nan nan
137 2.840619061142206 2.840619061142206 nan nan nan nan nan
138 2.8178833946585655 2.8178833946585655 nan nan nan nan nan
139 2.8440115191042423 2.8440115191042423 nan nan nan nan nan
140 2.8216729164123535 2.8216729164123535 nan nan nan nan nan
141 2.8415263146162033 2.8415263146162033 nan nan nan nan nan
142 2.8172264471650124 2.8172264471650124 nan nan nan nan nan
143 2.8400617577135563 2.8400617577135563 nan nan nan nan nan
144 2.815013851970434 2.815013851970434 nan nan nan nan nan
145 2.843282286077738 2.843282286077738 nan nan nan nan nan
146 2.819403626024723 2.819403626024723 nan nan nan nan nan
147 2.8433836549520493 2.8433836549520493 nan nan nan nan nan
148 2.810895312577486 2.810895312577486 nan nan nan nan nan
149 2.8332914002239704 2.8332914002239704 nan nan nan nan nan
150 2.809181459248066 2.809181459248066 nan nan nan nan nan
151 2.8349124267697334 2.8349124267697334 nan nan nan nan nan
152 2.8037785217165947 2.8037785217165947 nan nan nan nan nan
153 2.828263498842716 2.828263498842716 nan nan nan nan nan
154 2.80585565790534 2.80585565790534 nan nan nan nan nan
155 2.831204582005739 2.831204582005739 nan nan nan nan nan
156 2.808094020932913 2.808094020932913 nan nan nan nan nan
157 2.8258473239839077 2.8258473239839077 nan nan nan nan nan
158 2.804280199110508 2.804280199110508 nan nan nan nan nan
159 2.8259494118392467 2.8259494118392467 nan nan nan nan nan
160 2.8060838878154755 2.8060838878154755 nan nan nan nan nan
161 2.8269741497933865 2.8269741497933865 nan nan nan nan nan
162 2.8029448240995407 2.8029448240995407 nan nan nan nan nan
163 2.824798781424761 2.824798781424761 nan nan nan nan nan
164 2.799075845628977 2.799075845628977 nan nan nan nan nan
165 2.8240593187510967 2.8240593187510967 nan nan nan nan nan
166 2.799206618219614 2.799206618219614 nan nan nan nan nan
167 2.8214866518974304 2.8214866518974304 nan nan nan nan nan
168 2.7983018420636654 2.7983018420636654 nan nan nan nan nan
169 2.820891071110964 2.820891071110964 nan nan nan nan nan
170 2.7974944189190865 2.7974944189190865 nan nan nan nan nan
171 2.8200314715504646 2.8200314715504646 nan nan nan nan nan
172 2.7964500300586224 2.7964500300586224 nan nan nan nan nan
173 2.8189263604581356 2.8189263604581356 nan nan nan nan nan
174 2.796120584011078 2.796120584011078 nan nan nan nan nan
