epoch VAE MDVAE SI LI AC Sem Cycle
1 3.3847011104226112 3.3847011104226112 nan nan nan nan nan
2 4.9074039831757545 4.9074039831757545 nan nan nan nan nan
3 3.395186211913824 3.395186211913824 nan nan nan nan nan
4 3.01186428591609 3.01186428591609 nan nan nan nan nan
5 2.9791615679860115 2.9791615679860115 nan nan nan nan nan
6 3.023786835372448 3.023786835372448 nan nan nan nan nan
7 3.054683893918991 3.054683893918991 nan nan nan nan nan
8 3.094782702624798 3.094782702624798 nan nan nan nan nan
9 3.090895429253578 3.090895429253578 nan nan nan nan nan
10 3.0738507956266403 3.0738507956266403 nan nan nan nan nan
11 3.098230227828026 3.098230227828026 nan nan nan nan nan
12 3.080344896763563 3.080344896763563 nan nan nan nan nan
13 3.054727904498577 3.054727904498577 nan nan nan nan nan
14 2.990829572081566 2.990829572081566 nan nan nan nan nan
15 3.003314934670925 3.003314934670925 nan nan nan nan nan
16 2.9294423311948776 2.9294423311948776 nan nan nan nan nan
17 2.8845716156065464 2.8845716156065464 nan nan nan nan nan
18 2.946090642362833 2.946090642362833 nan nan nan nan nan
19 2.9087065309286118 2.9087065309286118 nan nan nan nan nan
20 2.935413297265768 2.935413297265768 nan nan nan nan nan
21 2.9197715297341347 2.9197715297341347 nan nan nan nan nan
22 2.9426396675407887 2.9426396675407887 nan nan nan nan nan
23 2.9225978665053844 2.9225978665053844 nan nan nan nan nan
24 2.9277626127004623 2.9277626127004623 nan nan nan nan nan
25 2.9044317454099655 2.9044317454099655 nan nan nan nan nan
26 2.865986220538616 2.865986220538616 nan nan nan nan nan
27 2.883667979389429 2.883667979389429 nan nan nan nan nan
28 2.890980366617441 2.890980366617441 nan nan nan nan nan
29 2.893418651074171 2.893418651074171 nan nan nan nan nan
30 2.909339167177677 2.909339167177677 nan nan nan nan nan
31 2.8948814012110233 2.8948814012110233 nan nan nan nan nan
32 2.888558678328991 2.888558678328991 nan nan nan nan nan
33 2.8670092560350895 2.8670092560350895 nan nan nan nan nan
34 2.8627416267991066 2.8627416267991066 nan nan nan nan nan
35 2.8901774547994137 2.8901774547994137 nan nan nan nan nan
36 2.8581389784812927 2.8581389784812927 nan nan nan nan nan
37 2.854627773165703 2.854627773165703 nan nan nan nan nan
38 2.847372643649578 2.847372643649578 nan nan nan nan nan
39 2.8698000200092793 2.8698000200092793 nan nan nan nan nan
40 2.8545934222638607 2.8545934222638607 nan nan nan nan nan
41 2.8270032703876495 2.8270032703876495 nan nan nan nan nan
42 2.8536426834762096 2.8536426834762096 nan nan nan nan nan
43 2.857437342405319 2.857437342405319 nan nan nan nan nan
44 2.8552281484007835 2.8552281484007835 nan nan nan nan nan
45 2.843367964029312 2.843367964029312 nan nan nan nan nan
46 2.831855323165655 2.831855323165655 nan nan nan nan nan
47 2.8507544547319412 2.8507544547319412 nan nan nan nan nan
48 2.8502881787717342 2.8502881787717342 nan nan nan nan nan
49 2.829623680561781 2.829623680561781 nan nan nan nan nan
50 2.855273474007845 2.855273474007845 nan nan nan nan nan
51 2.835702635347843 2.835702635347843 nan nan nan nan nan
