epoch VAE MDVAE SI LI AC SC C
1 3.384698886424303 3.384698886424303 nan nan nan nan nan
2 4.666635975241661 4.666635975241661 nan nan nan nan nan
3 3.2429752349853516 3.2429752349853516 nan nan nan nan nan
4 2.9553186297416687 2.9553186297416687 nan nan nan nan nan
5 2.94464223459363 2.94464223459363 nan nan nan nan nan
6 2.9324744418263435 2.9324744418263435 nan nan nan nan nan
7 2.948565222322941 2.948565222322941 nan nan nan nan nan
8 2.9389031045138836 2.9389031045138836 nan nan nan nan nan
9 2.928973477333784 2.928973477333784 nan nan nan nan nan
10 2.903564367443323 2.903564367443323 nan nan nan nan nan
11 2.876458767801523 2.876458767801523 nan nan nan nan nan
12 2.876486249268055 2.876486249268055 nan nan nan nan nan
13 2.864809576421976 2.864809576421976 nan nan nan nan nan
14 2.856681525707245 2.856681525707245 nan nan nan nan nan
15 2.846686974167824 2.846686974167824 nan nan nan nan nan
16 2.8517026901245117 2.8517026901245117 nan nan nan nan nan
17 2.8207246512174606 2.8207246512174606 nan nan nan nan nan
18 2.867031704634428 2.867031704634428 nan nan nan nan nan
19 2.8279864005744457 2.8279864005744457 nan nan nan nan nan
20 2.8431362248957157 2.8431362248957157 nan nan nan nan nan
21 2.8292990550398827 2.8292990550398827 nan nan nan nan nan
22 2.8593855164945126 2.8593855164945126 nan nan nan nan nan
23 2.836008209735155 2.836008209735155 nan nan nan nan nan
24 2.8395549207925797 2.8395549207925797 nan nan nan nan nan
25 2.8286149837076664 2.8286149837076664 nan nan nan nan nan
26 2.8140320889651775 2.8140320889651775 nan nan nan nan nan
27 2.840241126716137 2.840241126716137 nan nan nan nan nan
28 2.8447378240525723 2.8447378240525723 nan nan nan nan nan
29 2.8384279496967793 2.8384279496967793 nan nan nan nan nan
30 2.8439159877598286 2.8439159877598286 nan nan nan nan nan
31 2.8183499053120613 2.8183499053120613 nan nan nan nan nan
32 2.8370357751846313 2.8370357751846313 nan nan nan nan nan
33 2.8281352519989014 2.8281352519989014 nan nan nan nan nan
34 2.8169046863913536 2.8169046863913536 nan nan nan nan nan
35 2.8468648977577686 2.8468648977577686 nan nan nan nan nan
36 2.8251827731728554 2.8251827731728554 nan nan nan nan nan
37 2.8237493224442005 2.8237493224442005 nan nan nan nan nan
38 2.8172241523861885 2.8172241523861885 nan nan nan nan nan
39 2.838345520198345 2.838345520198345 nan nan nan nan nan
40 2.8204369880259037 2.8204369880259037 nan nan nan nan nan
41 2.8025479838252068 2.8025479838252068 nan nan nan nan nan
42 2.8274004943668842 2.8274004943668842 nan nan nan nan nan
