epoch VAE MDVAE SI LI AC Sem Cycle
1 3.384699270129204 3.384699270129204 nan nan nan nan nan
2 4.978215750306845 4.978215750306845 nan nan nan nan nan
3 3.4846448488533497 3.4846448488533497 nan nan nan nan nan
4 3.05813055485487 3.05813055485487 nan nan nan nan nan
5 3.0093103758990765 3.0093103758990765 nan nan nan nan nan
6 3.0311055183410645 3.0311055183410645 nan nan nan nan nan
7 3.171144336462021 3.171144336462021 nan nan nan nan nan
8 3.2987423203885555 3.2987423203885555 nan nan nan nan nan
9 3.2734631933271885 3.2734631933271885 nan nan nan nan nan
10 3.2630628906190395 3.2630628906190395 nan nan nan nan nan
11 3.24426032602787 3.24426032602787 nan nan nan nan nan
12 3.1574077755212784 3.1574077755212784 nan nan nan nan nan
13 3.2123052775859833 3.2123052775859833 nan nan nan nan nan
14 3.0590601824223995 3.0590601824223995 nan nan nan nan nan
15 3.022054336965084 3.022054336965084 nan nan nan nan nan
16 3.0032296180725098 3.0032296180725098 nan nan nan nan nan
17 3.0891360230743885 3.0891360230743885 nan nan nan nan nan
18 3.158031765371561 3.158031765371561 nan nan nan nan nan
19 3.2218409031629562 3.2218409031629562 nan nan nan nan nan
20 3.3522792272269726 3.3522792272269726 nan nan nan nan nan
21 3.381927102804184 3.381927102804184 nan nan nan nan nan
22 3.1660934686660767 3.1660934686660767 nan nan nan nan nan
23 3.16112182661891 3.16112182661891 nan nan nan nan nan
24 3.01499717310071 3.01499717310071 nan nan nan nan nan
25 3.042333744466305 3.042333744466305 nan nan nan nan nan
26 3.065825141966343 3.065825141966343 nan nan nan nan nan
27 3.1009181812405586 3.1009181812405586 nan nan nan nan nan
28 3.0327080376446247 3.0327080376446247 nan nan nan nan nan
29 3.125993151217699 3.125993151217699 nan nan nan nan nan
30 3.0592519752681255 3.0592519752681255 nan nan nan nan nan
31 3.120918847620487 3.120918847620487 nan nan nan nan nan
32 3.052616324275732 3.052616324275732 nan nan nan nan nan
33 3.161576524376869 3.161576524376869 nan nan nan nan nan
34 3.1331518553197384 3.1331518553197384 nan nan nan nan nan
35 3.1722943410277367 3.1722943410277367 nan nan nan nan nan
36 3.127219147980213 3.127219147980213 nan nan nan nan nan
37 3.1254369281232357 3.1254369281232357 nan nan nan nan nan
38 3.039596028625965 3.039596028625965 nan nan nan nan nan
39 3.029082577675581 3.029082577675581 nan nan nan nan nan
40 3.0225788950920105 3.0225788950920105 nan nan nan nan nan
41 3.0251371674239635 3.0251371674239635 nan nan nan nan nan
42 3.025055255740881 3.025055255740881 nan nan nan nan nan
43 3.036470428109169 3.036470428109169 nan nan nan nan nan
44 3.0062867775559425 3.0062867775559425 nan nan nan nan nan
45 3.0214250460267067 3.0214250460267067 nan nan nan nan nan
46 3.03683689981699 3.03683689981699 nan nan nan nan nan
47 3.2108012326061726 3.2108012326061726 nan nan nan nan nan
48 3.2839114256203175 3.2839114256203175 nan nan nan nan nan
49 3.31224599853158 3.31224599853158 nan nan nan nan nan
50 3.1164464689791203 3.1164464689791203 nan nan nan nan nan
51 2.937609229236841 2.937609229236841 nan nan nan nan nan
52 2.940044052898884 2.940044052898884 nan nan nan nan nan
53 2.9483050256967545 2.9483050256967545 nan nan nan nan nan
54 2.911887113004923 2.911887113004923 nan nan nan nan nan
55 2.9452873840928078 2.9452873840928078 nan nan nan nan nan
56 2.9268042892217636 2.9268042892217636 nan nan nan nan nan
57 2.973395861685276 2.973395861685276 nan nan nan nan nan
58 2.943784274160862 2.943784274160862 nan nan nan nan nan
59 2.9844826012849808 2.9844826012849808 nan nan nan nan nan
60 3.00642404332757 3.00642404332757 nan nan nan nan nan
61 2.9968999326229095 2.9968999326229095 nan nan nan nan nan
62 3.0072109885513783 3.0072109885513783 nan nan nan nan nan
63 3.100612446665764 3.100612446665764 nan nan nan nan nan
64 3.0350584760308266 3.0350584760308266 nan nan nan nan nan
65 3.0203354880213737 3.0203354880213737 nan nan nan nan nan
66 2.960148833692074 2.960148833692074 nan nan nan nan nan
67 2.9541914872825146 2.9541914872825146 nan nan nan nan nan
68 2.9206166118383408 2.9206166118383408 nan nan nan nan nan
69 2.940294299274683 2.940294299274683 nan nan nan nan nan
70 2.8888614997267723 2.8888614997267723 nan nan nan nan nan
71 2.9301072135567665 2.9301072135567665 nan nan nan nan nan
72 2.9459041617810726 2.9459041617810726 nan nan nan nan nan
73 3.0213057808578014 3.0213057808578014 nan nan nan nan nan
74 3.033175740391016 3.033175740391016 nan nan nan nan nan
75 3.021889217197895 3.021889217197895 nan nan nan nan nan
76 2.958555519580841 2.958555519580841 nan nan nan nan nan
77 2.9953119568526745 2.9953119568526745 nan nan nan nan nan
78 2.943116743117571 2.943116743117571 nan nan nan nan nan
79 2.919954653829336 2.919954653829336 nan nan nan nan nan
80 2.880991615355015 2.880991615355015 nan nan nan nan nan
81 2.9230307675898075 2.9230307675898075 nan nan nan nan nan
82 2.909034512937069 2.909034512937069 nan nan nan nan nan
83 2.9198416732251644 2.9198416732251644 nan nan nan nan nan
84 2.8990653343498707 2.8990653343498707 nan nan nan nan nan
85 2.933557156473398 2.933557156473398 nan nan nan nan nan
86 2.9267753027379513 2.9267753027379513 nan nan nan nan nan
87 2.9483987502753735 2.9483987502753735 nan nan nan nan nan
88 2.916277449578047 2.916277449578047 nan nan nan nan nan
89 2.941879190504551 2.941879190504551 nan nan nan nan nan
90 2.950881525874138 2.950881525874138 nan nan nan nan nan
91 2.9393586181104183 2.9393586181104183 nan nan nan nan nan
92 2.9114604741334915 2.9114604741334915 nan nan nan nan nan
93 2.9211544767022133 2.9211544767022133 nan nan nan nan nan
94 2.874936256557703 2.874936256557703 nan nan nan nan nan
95 2.9062840193510056 2.9062840193510056 nan nan nan nan nan
96 2.883267380297184 2.883267380297184 nan nan nan nan nan
97 2.8961205258965492 2.8961205258965492 nan nan nan nan nan
98 2.8820245154201984 2.8820245154201984 nan nan nan nan nan
99 2.9166654758155346 2.9166654758155346 nan nan nan nan nan
100 2.886264242231846 2.886264242231846 nan nan nan nan nan
101 2.907081589102745 2.907081589102745 nan nan nan nan nan
102 2.8841042146086693 2.8841042146086693 nan nan nan nan nan
103 2.897343475371599 2.897343475371599 nan nan nan nan nan
104 2.8721518889069557 2.8721518889069557 nan nan nan nan nan
105 2.9013603813946247 2.9013603813946247 nan nan nan nan nan
106 2.8790166564285755 2.8790166564285755 nan nan nan nan nan
107 2.8970626667141914 2.8970626667141914 nan nan nan nan nan
108 2.8580356054008007 2.8580356054008007 nan nan nan nan nan
109 2.8882709220051765 2.8882709220051765 nan nan nan nan nan
110 2.8645351119339466 2.8645351119339466 nan nan nan nan nan
111 2.8843916840851307 2.8843916840851307 nan nan nan nan nan
112 2.864696465432644 2.864696465432644 nan nan nan nan nan
113 2.884357739239931 2.884357739239931 nan nan nan nan nan
114 2.8517563231289387 2.8517563231289387 nan nan nan nan nan
115 2.8754639215767384 2.8754639215767384 nan nan nan nan nan
116 2.858818404376507 2.858818404376507 nan nan nan nan nan
117 2.8691210635006428 2.8691210635006428 nan nan nan nan nan
118 2.8471166603267193 2.8471166603267193 nan nan nan nan nan
119 2.8736040107905865 2.8736040107905865 nan nan nan nan nan
120 2.8487489074468613 2.8487489074468613 nan nan nan nan nan
121 2.876820996403694 2.876820996403694 nan nan nan nan nan
122 2.8455225192010403 2.8455225192010403 nan nan nan nan nan
123 2.863212302327156 2.863212302327156 nan nan nan nan nan
124 2.8395867198705673 2.8395867198705673 nan nan nan nan nan
125 2.867864169180393 2.867864169180393 nan nan nan nan nan
126 2.840101260691881 2.840101260691881 nan nan nan nan nan
127 2.8589680939912796 2.8589680939912796 nan nan nan nan nan
128 2.833282094448805 2.833282094448805 nan nan nan nan nan
129 2.8559107333421707 2.8559107333421707 nan nan nan nan nan
130 2.8298727832734585 2.8298727832734585 nan nan nan nan nan
131 2.852485977113247 2.852485977113247 nan nan nan nan nan
132 2.8347602263092995 2.8347602263092995 nan nan nan nan nan
133 2.861064061522484 2.861064061522484 nan nan nan nan nan
134 2.832873184233904 2.832873184233904 nan nan nan nan nan
135 2.8451498113572598 2.8451498113572598 nan nan nan nan nan
136 2.8224495127797127 2.8224495127797127 nan nan nan nan nan
137 2.8433521203696728 2.8433521203696728 nan nan nan nan nan
138 2.8222946487367153 2.8222946487367153 nan nan nan nan nan
139 2.84111649915576 2.84111649915576 nan nan nan nan nan
140 2.819220293313265 2.819220293313265 nan nan nan nan nan
141 2.8454214856028557 2.8454214856028557 nan nan nan nan nan
142 2.8193254470825195 2.8193254470825195 nan nan nan nan nan
143 2.8401432037353516 2.8401432037353516 nan nan nan nan nan
144 2.8150285072624683 2.8150285072624683 nan nan nan nan nan
145 2.8407113924622536 2.8407113924622536 nan nan nan nan nan
146 2.8155267350375652 2.8155267350375652 nan nan nan nan nan
147 2.841150391846895 2.841150391846895 nan nan nan nan nan
148 2.8155402205884457 2.8155402205884457 nan nan nan nan nan
149 2.8380457013845444 2.8380457013845444 nan nan nan nan nan
150 2.8102669790387154 2.8102669790387154 nan nan nan nan nan
151 2.837419431656599 2.837419431656599 nan nan nan nan nan
152 2.807301349937916 2.807301349937916 nan nan nan nan nan
153 2.8303103372454643 2.8303103372454643 nan nan nan nan nan
154 2.8070818036794662 2.8070818036794662 nan nan nan nan nan
155 2.831457916647196 2.831457916647196 nan nan nan nan nan
156 2.8090036287903786 2.8090036287903786 nan nan nan nan nan
157 2.827420074492693 2.827420074492693 nan nan nan nan nan
158 2.803176984190941 2.803176984190941 nan nan nan nan nan
159 2.823498371988535 2.823498371988535 nan nan nan nan nan
160 2.801994800567627 2.801994800567627 nan nan nan nan nan
161 2.822899755090475 2.822899755090475 nan nan nan nan nan
162 2.8005992621183395 2.8005992621183395 nan nan nan nan nan
163 2.8236243203282356 2.8236243203282356 nan nan nan nan nan
164 2.797527752816677 2.797527752816677 nan nan nan nan nan
165 2.8233174048364162 2.8233174048364162 nan nan nan nan nan
166 2.799576960504055 2.799576960504055 nan nan nan nan nan
167 2.8222997039556503 2.8222997039556503 nan nan nan nan nan
168 2.799063812941313 2.799063812941313 nan nan nan nan nan
169 2.822462562471628 2.822462562471628 nan nan nan nan nan
170 2.798804145306349 2.798804145306349 nan nan nan nan nan
171 2.8210434243083 2.8210434243083 nan nan nan nan nan
172 2.796979233622551 2.796979233622551 nan nan nan nan nan
173 2.8191233836114407 2.8191233836114407 nan nan nan nan nan
174 2.796134792268276 2.796134792268276 nan nan nan nan nan
175 2.8199635334312916 2.8199635334312916 nan nan nan nan nan
176 2.7957925014197826 2.7957925014197826 nan nan nan nan nan
177 2.820212222635746 2.820212222635746 nan nan nan nan nan
178 2.7975723557174206 2.7975723557174206 nan nan nan nan nan
179 2.8205904476344585 2.8205904476344585 nan nan nan nan nan
180 2.794268310070038 2.794268310070038 nan nan nan nan nan
181 2.819365542382002 2.819365542382002 nan nan nan nan nan
182 2.796286977827549 2.796286977827549 nan nan nan nan nan
183 2.8194430582225323 2.8194430582225323 nan nan nan nan nan
184 2.793765015900135 2.793765015900135 nan nan nan nan nan
185 2.8187507428228855 2.8187507428228855 nan nan nan nan nan
186 2.7964638099074364 2.7964638099074364 nan nan nan nan nan
187 2.8165124729275703 2.8165124729275703 nan nan nan nan nan
188 2.793636240065098 2.793636240065098 nan nan nan nan nan
189 2.818666350096464 2.818666350096464 nan nan nan nan nan
190 2.792929321527481 2.792929321527481 nan nan nan nan nan
191 2.8196580335497856 2.8196580335497856 nan nan nan nan nan
192 2.7945844419300556 2.7945844419300556 nan nan nan nan nan
193 2.8192338533699512 2.8192338533699512 nan nan nan nan nan
194 2.7938616760075092 2.7938616760075092 nan nan nan nan nan
195 2.8187602944672108 2.8187602944672108 nan nan nan nan nan
196 2.7931616120040417 2.7931616120040417 nan nan nan nan nan
197 2.817080207169056 2.817080207169056 nan nan nan nan nan
198 2.7914771251380444 2.7914771251380444 nan nan nan nan nan
199 2.816117450594902 2.816117450594902 nan nan nan nan nan
200 2.794475857168436 2.794475857168436 nan nan nan nan nan
