epoch loss_VAE loss_MDVAE loss_SI loss_LI loss_AC loss_SC loss_C
1 3.3846997804939747 3.3846997804939747 nan nan nan nan nan
2 4.952240329235792 4.952240329235792 nan nan nan nan nan
3 3.429083313792944 3.429083313792944 nan nan nan nan nan
4 2.9876854866743088 2.9876854866743088 nan nan nan nan nan
5 3.076237168163061 3.076237168163061 nan nan nan nan nan
6 3.07379836961627 3.07379836961627 nan nan nan nan nan
7 3.1091507375240326 3.1091507375240326 nan nan nan nan nan
8 3.252293463796377 3.252293463796377 nan nan nan nan nan
9 3.1815446317195892 3.1815446317195892 nan nan nan nan nan
10 3.2001584134995937 3.2001584134995937 nan nan nan nan nan
11 3.1615501530468464 3.1615501530468464 nan nan nan nan nan
12 3.164508905261755 3.164508905261755 nan nan nan nan nan
13 3.1526875123381615 3.1526875123381615 nan nan nan nan nan
14 3.1002117395401 3.1002117395401 nan nan nan nan nan
15 3.0509955771267414 3.0509955771267414 nan nan nan nan nan
16 3.10076554864645 3.10076554864645 nan nan nan nan nan
17 3.0923180244863033 3.0923180244863033 nan nan nan nan nan
18 3.1075181253254414 3.1075181253254414 nan nan nan nan nan
19 3.0166214928030968 3.0166214928030968 nan nan nan nan nan
20 2.9818979650735855 2.9818979650735855 nan nan nan nan nan
21 3.0157225653529167 3.0157225653529167 nan nan nan nan nan
22 3.088880430907011 3.088880430907011 nan nan nan nan nan
23 3.067213661968708 3.067213661968708 nan nan nan nan nan
24 3.000879343599081 3.000879343599081 nan nan nan nan nan
25 2.9784130454063416 2.9784130454063416 nan nan nan nan nan
26 2.9686222672462463 2.9686222672462463 nan nan nan nan nan
27 3.0386640690267086 3.0386640690267086 nan nan nan nan nan
28 3.0333311855793 3.0333311855793 nan nan nan nan nan
29 3.0193499960005283 3.0193499960005283 nan nan nan nan nan
30 2.987945880740881 2.987945880740881 nan nan nan nan nan
31 2.974662609398365 2.974662609398365 nan nan nan nan nan
32 2.9946337677538395 2.9946337677538395 nan nan nan nan nan
33 2.9924033731222153 2.9924033731222153 nan nan nan nan nan
34 2.985975492745638 2.985975492745638 nan nan nan nan nan
35 3.012849297374487 3.012849297374487 nan nan nan nan nan
36 2.967734858393669 2.967734858393669 nan nan nan nan nan
37 2.9828240983188152 2.9828240983188152 nan nan nan nan nan
38 2.921073704957962 2.921073704957962 nan nan nan nan nan
39 2.9418013840913773 2.9418013840913773 nan nan nan nan nan
40 2.9477414302527905 2.9477414302527905 nan nan nan nan nan
41 2.9408365935087204 2.9408365935087204 nan nan nan nan nan
42 2.94363347068429 2.94363347068429 nan nan nan nan nan
43 2.943224720656872 2.943224720656872 nan nan nan nan nan
44 2.95986520498991 2.95986520498991 nan nan nan nan nan
45 2.9745930284261703 2.9745930284261703 nan nan nan nan nan
46 2.936941396445036 2.936941396445036 nan nan nan nan nan
47 2.947187151759863 2.947187151759863 nan nan nan nan nan
48 2.940449181944132 2.940449181944132 nan nan nan nan nan
49 2.9084752947092056 2.9084752947092056 nan nan nan nan nan
50 2.9275685362517834 2.9275685362517834 nan nan nan nan nan
51 2.908243488520384 2.908243488520384 nan nan nan nan nan
52 2.8993345759809017 2.8993345759809017 nan nan nan nan nan
53 2.895420912653208 2.895420912653208 nan nan nan nan nan
54 2.896640732884407 2.896640732884407 nan nan nan nan nan
55 2.9063362516462803 2.9063362516462803 nan nan nan nan nan
56 2.91557028144598 2.91557028144598 nan nan nan nan nan
57 2.924205906689167 2.924205906689167 nan nan nan nan nan
58 2.9021595269441605 2.9021595269441605 nan nan nan nan nan
59 2.8841970451176167 2.8841970451176167 nan nan nan nan nan
60 2.9025167524814606 2.9025167524814606 nan nan nan nan nan
61 2.935784686356783 2.935784686356783 nan nan nan nan nan
62 2.9220671467483044 2.9220671467483044 nan nan nan nan nan
63 2.880077987909317 2.880077987909317 nan nan nan nan nan
64 2.8623129688203335 2.8623129688203335 nan nan nan nan nan
65 2.88962933793664 2.88962933793664 nan nan nan nan nan
66 2.8866322971880436 2.8866322971880436 nan nan nan nan nan
67 2.8877735659480095 2.8877735659480095 nan nan nan nan nan
